Genesis 1:1	In the beginning God created the heaven and the earth.
Exodus 33:7	And Moses took the tabernacle, and pitched it without the camp, afar off from the camp, and called it the Tabernacle of the congregation. And it came to pass, that every one which sought the LORD went out unto the tabernacle of the congregation, which was without the camp.
Exodus 33:17	And the LORD said unto Moses, I will do this thing also that thou hast spoken: for thou hast found grace in my sight, and I know thee by name.
Exodus 34:4	And he hewed two tables of stone like unto the first; and Moses rose up early in the morning, and went up unto mount Sinai, as the LORD had commanded him, and took in his hand the two tables of stone.
Exodus 34:14	For thou shalt worship no other god: for the LORD, whose name is Jealous, is a jealous God:
Exodus 34:24	For I will cast out the nations before thee, and enlarge thy borders: neither shall any man desire thy land, when thou shalt go up to appear before the LORD thy God thrice in the year.
Exodus 34:34	But when Moses went in before the LORD to speak with him, he took the vail off, until he came out. And he came out, and spake unto the children of Israel that which he was commanded.
Exodus 35:9	And onyx stones, and stones to be set for the ephod, and for the breastplate.
Exodus 35:19	The cloths of service, to do service in the holy place, the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest's office.
Exodus 35:29	The children of Israel brought a willing offering unto the LORD, every man and woman, whose heart made them willing to bring for all manner of work, which the LORD had commanded to be made by the hand of Moses.
Exodus 36:4	And all the wise men, that wrought all the work of the sanctuary, came every man from his work which they made;
Exodus 36:14	And he made curtains of goats' hair for the tent over the tabernacle: eleven curtains he made them.
Exodus 36:24	And forty sockets of silver he made under the twenty boards; two sockets under one board for his two tenons, and two sockets under another board for his two tenons.
Exodus 36:34	And he overlaid the boards with gold, and made their rings of gold to be places for the bars, and overlaid the bars with gold.
Exodus 37:6	And he made the mercy seat of pure gold: two cubits and a half was the length thereof, and one cubit and a half the breadth thereof.
Exodus 37:16	And he made the vessels which were upon the table, his dishes, and his spoons, and his bowls, and his covers to cover withal, of pure gold.
Exodus 37:26	And he overlaid it with pure gold, both the top of it, and the sides thereof round about, and the horns of it: also he made unto it a crown of gold round about.
Exodus 38:7	And he put the staves into the rings on the sides of the altar, to bear it withal; he made the altar hollow with boards.
Exodus 38:17	And the sockets for the pillars were of brass; the hooks of the pillars and their fillets of silver; and the overlaying of their chapiters of silver; and all the pillars of the court were filleted with silver.
Exodus 38:27	And of the hundred talents of silver were cast the sockets of the sanctuary, and the sockets of the vail; an hundred sockets of the hundred talents, a talent for a socket.
Exodus 39:6	And they wrought onyx stones inclosed in ouches of gold, graven, as signets are graven, with the names of the children of Israel.
Exodus 39:16	And they made two ouches of gold, and two gold rings; and put the two rings in the two ends of the breastplate.
Exodus 39:26	A bell and a pomegranate, a bell and a pomegranate, round about the hem of the robe to minister in; as the LORD commanded Moses.
Exodus 39:36	The table, and all the vessels thereof, and the showbread,
Exodus 40:3	And thou shalt put therein the ark of the testimony, and cover the ark with the vail.
Exodus 40:13	And thou shalt put upon Aaron the holy garments, and anoint him, and sanctify him; that he may minister unto me in the priest's office.
Exodus 40:23	And he set the bread in order upon it before the LORD; as the LORD had commanded Moses.
Exodus 40:33	And he reared up the court round about the tabernacle and the altar, and set up the hanging of the court gate. So Moses finished the work.
Leviticus 1:5	And he shall kill the bullock before the LORD: and the priests, Aaron's sons, shall bring the blood, and sprinkle the blood round about upon the altar that is by the door of the tabernacle of the congregation.
Leviticus 1:15	And the priest shall bring it unto the altar, and wring off his head, and burn it on the altar; and the blood thereof shall be wrung out at the side of the altar:
Leviticus 2:8	And thou shalt bring the meat offering that is made of these things unto the LORD: and when it is presented unto the priest, he shall bring it unto the altar.
Leviticus 3:2	And he shall lay his hand upon the head of his offering, and kill it at the door of the tabernacle of the congregation: and Aaron's sons the priests shall sprinkle the blood upon the altar round about.
Leviticus 3:12	And if his offering be a goat, then he shall offer it before the LORD.
Leviticus 4:5	And the priest that is anointed shall take of the bullock's blood, and bring it to the tabernacle of the congregation:
Leviticus 4:15	And the elders of the congregation shall lay their hands upon the head of the bullock before the LORD: and the bullock shall be killed before the LORD.
Leviticus 4:25	And the priest shall take of the blood of the sin offering with his finger, and put it upon the horns of the altar of burnt offering, and shall pour out his blood at the bottom of the altar of burnt offering.
Leviticus 4:35	And he shall take away all the fat thereof, as the fat of the lamb is taken away from the sacrifice of the peace offerings; and the priest shall burn them upon the altar, according to the offerings made by fire unto the LORD: and the priest shall make an atonement for his sin that he hath committed, and it shall be forgiven him.
Leviticus 5:10	And he shall offer the second for a burnt offering, according to the manner: and the priest shall make an atonement for him for his sin which he hath sinned, and it shall be forgiven him.
Leviticus 6:1	And the LORD spake unto Moses, saying,
Leviticus 6:11	And he shall put off his garments, and put on other garments, and carry forth the ashes without the camp unto a clean place.
Leviticus 6:21	In a pan it shall be made with oil; and when it is baked, thou shalt bring it in: and the baked pieces of the meat offering shalt thou offer for a sweet savor unto the LORD.
Leviticus 7:1	Likewise this is the law of the trespass offering: it is most holy.
Leviticus 7:11	And this is the law of the sacrifice of peace offerings, which he shall offer unto the LORD.
Leviticus 7:21	Moreover the soul that shall touch any unclean thing, as the uncleanness of man, or any unclean beast, or any abominable unclean thing, and eat of the flesh of the sacrifice of peace offerings, which pertain unto the LORD, even that soul shall be cut off from his people.
Leviticus 7:31	And the priest shall burn the fat upon the altar: but the breast shall be Aaron's and his sons'.
Leviticus 8:3	And gather thou all the congregation together unto the door of the tabernacle of the congregation.
Leviticus 8:13	And Moses brought Aaron's sons, and put coats upon them, and girded them with girdles, and put bonnets upon them; as the LORD commanded Moses.
Leviticus 8:23	And he slew it; and Moses took of the blood of it, and put it upon the tip of Aaron's right ear, and upon the thumb of his right hand, and upon the great toe of his right foot.
Leviticus 8:33	And ye shall not go out of the door of the tabernacle of the congregation in seven days, until the days of your consecration be at an end: for seven days shall he consecrate you.
Leviticus 9:7	And Moses said unto Aaron, Go unto the altar, and offer thy sin offering, and thy burnt offering, and make an atonement for thyself, and for the people: and offer the offering of the people, and make an atonement for them; as the LORD commanded.
