Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Joshua 19:32	The sixth lot came out to the children of Naphtali, even for the children of Naphtali according to their families.
Joshua 19:42	And Shaalabbin, and Ajalon, and Jethlah,
Joshua 20:1	The LORD also spake unto Joshua, saying,
Joshua 21:2	And they spake unto them at Shiloh in the land of Canaan, saying, The LORD commanded by the hand of Moses to give us cities to dwell in, with the suburbs thereof for our cattle.
Joshua 21:12	But the fields of the city, and the villages thereof, gave they to Caleb the son of Jephunneh for his possession.
Joshua 21:22	And Kibzaim with her suburbs, and Bethhoron with her suburbs; four cities.
Joshua 21:32	And out of the tribe of Naphtali, Kedesh in Galilee with her suburbs, to be a city of refuge for the slayer; and Hammothdor with her suburbs, and Kartan with her suburbs; three cities.
Joshua 21:42	These cities were every one with their suburbs round about them: thus were all these cities.
Joshua 22:7	Now to the one half of the tribe of Manasseh Moses had given possession in Bashan: but unto the other half thereof gave Joshua among their brethren on this side Jordan westward. And when Joshua sent them away also unto their tents, then he blessed them,
Joshua 22:17	Is the iniquity of Peor too little for us, from which we are not cleansed until this day, although there was a plague in the congregation of the LORD,
Joshua 22:27	But that it may be a witness between us, and you, and our generations after us, that we might do the service of the LORD before him with our burnt offerings, and with our sacrifices, and with our peace offerings; that your children may not say to our children in time to come, Ye have no part in the LORD.
Joshua 23:3	And ye have seen all that the LORD your God hath done unto all these nations because of you; for the LORD your God is he that hath fought for you.
Joshua 23:13	Know for a certainty that the LORD your God will no more drive out any of these nations from before you; but they shall be snares and traps unto you, and scourges in your sides, and thorns in your eyes, until ye perish from off this good land which the LORD your God hath given you.
Joshua 24:7	And when they cried unto the LORD, he put darkness between you and the Egyptians, and brought the sea upon them, and covered them; and your eyes have seen what I have done in Egypt: and ye dwelt in the wilderness a long season.
Joshua 24:17	For the LORD our God, he it is that brought us up and our fathers out of the land of Egypt, from the house of bondage, and which did those great signs in our sight, and preserved us in all the way wherein we went, and among all the people through whom we passed:
Joshua 24:27	And Joshua said unto all the people, Behold, this stone shall be a witness unto us; for it hath heard all the words of the LORD which he spake unto us: it shall be therefore a witness unto you, lest ye deny your God.
Judges 1:4	And Judah went up; and the LORD delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.
Judges 1:14	And it came to pass, when she came to him, that she moved him to ask of her father a field: and she lighted from off her ass; and Caleb said unto her, What wilt thou?
Judges 1:24	And the spies saw a man come forth out of the city, and they said unto him, Show us, we pray thee, the entrance into the city, and we will show thee mercy.
Judges 1:34	And the Amorites forced the children of Dan into the mountain: for they would not suffer them to come down to the valley:
Judges 2:8	And Joshua the son of Nun, the servant of the LORD, died, being an hundred and ten years old.
Judges 2:18	And when the LORD raised them up judges, then the LORD was with the judge, and delivered them out of the hand of their enemies all the days of the judge: for it repented the LORD because of their groanings by reason of them that oppressed them and vexed them.
Judges 3:5	And the children of Israel dwelt among the Canaanites, Hittites, and Amorites, and Perizzites, and Hivites, and Jebusites:
Judges 3:15	But when the children of Israel cried unto the LORD, the LORD raised them up a deliverer, Ehud the son of Gera, a Benjamite, a man lefthanded: and by him the children of Israel sent a present unto Eglon the king of Moab.
Judges 3:25	And they tarried till they were ashamed: and, behold, he opened not the doors of the parlor; therefore they took a key, and opened them: and, behold, their lord was fallen down dead on the earth.
Judges 4:4	And Deborah, a prophetess, the wife of Lapidoth, she judged Israel at that time.
Judges 4:14	And Deborah said unto Barak, Up; for this is the day in which the LORD hath delivered Sisera into thine hand: is not the LORD gone out before thee? So Barak went down from mount Tabor, and ten thousand men after him.
Judges 4:24	And the hand of the children of Israel prospered, and prevailed against Jabin the king of Canaan, until they had destroyed Jabin king of Canaan.
Judges 5:10	Speak, ye that ride on white asses, ye that sit in judgment, and walk by the way.
Judges 5:20	They fought from heaven; the stars in their courses fought against Sisera.
Judges 5:30	Have they not sped? have they not divided the prey; to every man a damsel or two; to Sisera a prey of divers colors, a prey of divers colors of needlework, of divers colors of needlework on both sides, meet for the necks of them that take the spoil?
Judges 6:9	And I delivered you out of the hand of the Egyptians, and out of the hand of all that oppressed you, and drave them out from before you, and gave you their land;
Judges 6:19	And Gideon went in, and made ready a kid, and unleavened cakes of an ephah of flour: the flesh he put in a basket, and he put the broth in a pot, and brought it out unto him under the oak, and presented it.
Judges 6:29	And they said one to another, Who hath done this thing? And when they inquired and asked, they said, Gideon the son of Joash hath done this thing.
Judges 6:39	And Gideon said unto God, Let not thine anger be hot against me, and I will speak but this once: let me prove, I pray thee, but this once with the fleece; let it now be dry only upon the fleece, and upon all the ground let there be dew.
Judges 7:9	And it came to pass the same night, that the LORD said unto him, Arise, get thee down unto the host; for I have delivered it into thine hand.
Judges 7:19	So Gideon, and the hundred men that were with him, came unto the outside of the camp in the beginning of the middle watch; and they had but newly set the watch: and they blew the trumpets, and brake the pitchers that were in their hands.
Judges 8:4	And Gideon came to Jordan, and passed over, he, and the three hundred men that were with him, faint, yet pursuing them.
Judges 8:14	And caught a young man of the men of Succoth, and inquired of him: and he described unto him the princes of Succoth, and the elders thereof, even threescore and seventeen men.
Judges 8:24	And Gideon said unto them, I would desire a request of you, that ye would give me every man the earrings of his prey. (For they had golden earrings, because they were Ishmaelites.)
Judges 8:34	And the children of Israel remembered not the LORD their God, who had delivered them out of the hands of all their enemies on every side:
Judges 9:9	But the olive tree said unto them, Should I leave my fatness, wherewith by me they honor God and man, and go to be promoted over the trees?
Judges 9:19	If ye then have dealt truly and sincerely with Jerubbaal and with his house this day, then rejoice ye in Abimelech, and let him also rejoice in you:
Judges 9:29	And would to God this people were under my hand! then would I remove Abimelech. And he said to Abimelech, Increase thine army, and come out.
