Genesis 1:3	And God said, Let there be light: and there was light.
Exodus 36:16	And he coupled five curtains by themselves, and six curtains by themselves.
Exodus 36:26	And their forty sockets of silver; two sockets under one board, and two sockets under another board.
Exodus 36:36	And he made thereunto four pillars of shittim wood, and overlaid them with gold: their hooks were of gold; and he cast for them four sockets of silver.
Exodus 37:8	One cherub on the end on this side, and another cherub on the other end on that side: out of the mercy seat made he the cherubim on the two ends thereof.
Exodus 37:18	And six branches going out of the sides thereof; three branches of the candlestick out of the one side thereof, and three branches of the candlestick out of the other side thereof:
Exodus 37:28	And he made the staves of shittim wood, and overlaid them with gold.
Exodus 38:9	And he made the court: on the south side southward the hangings of the court were of fine twined linen, an hundred cubits:
Exodus 38:19	And their pillars were four, and their sockets of brass four; their hooks of silver, and the overlaying of their chapiters and their fillets of silver.
Exodus 38:29	And the brass of the offering was seventy talents, and two thousand and four hundred shekels.
Exodus 39:8	And he made the breastplate of cunning work, like the work of the ephod; of gold, blue, and purple, and scarlet, and fine twined linen.
Exodus 39:18	And the two ends of the two wreathed chains they fastened in the two ouches, and put them on the shoulderpieces of the ephod, before it.
Exodus 39:28	And a mitre of fine linen, and goodly bonnets of fine linen, and linen breeches of fine twined linen,
Exodus 39:38	And the golden altar, and the anointing oil, and the sweet incense, and the hanging for the tabernacle door,
Exodus 40:5	And thou shalt set the altar of gold for the incense before the ark of the testimony, and put the hanging of the door to the tabernacle.
Exodus 40:15	And thou shalt anoint them, as thou didst anoint their father, that they may minister unto me in the priest's office: for their anointing shall surely be an everlasting priesthood throughout their generations.
Exodus 40:25	And he lighted the lamps before the LORD; as the LORD commanded Moses.
Exodus 40:35	And Moses was not able to enter into the tent of the congregation, because the cloud abode thereon, and the glory of the LORD filled the tabernacle.
Leviticus 1:7	And the sons of Aaron the priest shall put fire upon the altar, and lay the wood in order upon the fire:
Leviticus 1:17	And he shall cleave it with the wings thereof, but shall not divide it asunder: and the priest shall burn it upon the altar, upon the wood that is upon the fire: it is a burnt sacrifice, an offering made by fire, of a sweet savor unto the LORD.
Leviticus 2:10	And that which is left of the meat offering shall be Aaron's and his sons': it is a thing most holy of the offerings of the LORD made by fire.
Leviticus 3:4	And the two kidneys, and the fat that is on them, which is by the flanks, and the caul above the liver, with the kidneys, it shall he take away.
Leviticus 3:14	And he shall offer thereof his offering, even an offering made by fire unto the LORD; the fat that covereth the inwards, and all the fat that is upon the inwards,
Leviticus 4:7	And the priest shall put some of the blood upon the horns of the altar of sweet incense before the LORD, which is in the tabernacle of the congregation; and shall pour all the blood of the bullock at the bottom of the altar of the burnt offering, which is at the door of the tabernacle of the congregation.
Leviticus 4:17	And the priest shall dip his finger in some of the blood, and sprinkle it seven times before the LORD, even before the vail.
Leviticus 4:27	And if any one of the common people sin through ignorance, while he doeth somewhat against any of the commandments of the LORD concerning things which ought not to be done, and be guilty;
Leviticus 5:2	Or if a soul touch any unclean thing, whether it be a carcass of an unclean beast, or a carcass of unclean cattle, or the carcass of unclean creeping things, and if it be hidden from him; he also shall be unclean, and guilty.
Leviticus 5:12	Then shall he bring it to the priest, and the priest shall take his handful of it, even a memorial thereof, and burn it on the altar, according to the offerings made by fire unto the LORD: it is a sin offering.
Leviticus 6:3	Or have found that which was lost, and lieth concerning it, and sweareth falsely; in any of all these that a man doeth, sinning therein:
Leviticus 6:13	The fire shall ever be burning upon the altar; it shall never go out.
Leviticus 6:23	For every meat offering for the priest shall be wholly burnt: it shall not be eaten.
Leviticus 7:3	And he shall offer of it all the fat thereof; the rump, and the fat that covereth the inwards,
Leviticus 7:13	Besides the cakes, he shall offer for his offering leavened bread with the sacrifice of thanksgiving of his peace offerings.
Leviticus 7:23	Speak unto the children of Israel, saying, Ye shall eat no manner of fat, of ox, or of sheep, or of goat.
Leviticus 7:33	He among the sons of Aaron, that offereth the blood of the peace offerings, and the fat, shall have the right shoulder for his part.
Leviticus 8:5	And Moses said unto the congregation, This is the thing which the LORD commanded to be done.
Leviticus 8:15	And he slew it; and Moses took the blood, and put it upon the horns of the altar round about with his finger, and purified the altar, and poured the blood at the bottom of the altar, and sanctified it, to make reconciliation upon it.
Leviticus 8:25	And he took the fat, and the rump, and all the fat that was upon the inwards, and the caul above the liver, and the two kidneys, and their fat, and the right shoulder:
Leviticus 8:35	Therefore shall ye abide at the door of the tabernacle of the congregation day and night seven days, and keep the charge of the LORD, that ye die not: for so I am commanded.
Leviticus 9:9	And the sons of Aaron brought the blood unto him: and he dipped his finger in the blood, and put it upon the horns of the altar, and poured out the blood at the bottom of the altar:
Leviticus 9:19	And the fat of the bullock and of the ram, the rump, and that which covereth the inwards, and the kidneys, and the caul above the liver:
Leviticus 10:5	So they went near, and carried them in their coats out of the camp; as Moses had said.
Leviticus 10:15	The heave shoulder and the wave breast shall they bring with the offerings made by fire of the fat, to wave it for a wave offering before the LORD; and it shall be thine, and thy sons' with thee, by a statute for ever; as the LORD hath commanded.
Leviticus 11:5	And the coney, because he cheweth the cud, but divideth not the hoof; he is unclean unto you.
Leviticus 11:15	Every raven after his kind;
Leviticus 11:25	And whosoever beareth ought of the carcass of them shall wash his clothes, and be unclean until the even.
Leviticus 11:35	And every thing whereupon any part of their carcass falleth shall be unclean; whether it be oven, or ranges for pots, they shall be broken down: for they are unclean and shall be unclean unto you.
Leviticus 11:45	For I am the LORD that bringeth you up out of the land of Egypt, to be your God: ye shall therefore be holy, for I am holy.
Leviticus 12:8	And if she be not able to bring a lamb, then she shall bring two turtles, or two young pigeons; the one for the burnt offering, and the other for a sin offering: and the priest shall make an atonement for her, and she shall be clean.
Leviticus 13:10	And the priest shall see him: and, behold, if the rising be white in the skin, and it have turned the hair white, and there be quick raw flesh in the rising;
Leviticus 13:20	And if, when the priest seeth it, behold, it be in sight lower than the skin, and the hair thereof be turned white; the priest shall pronounce him unclean: it is a plague of leprosy broken out of the boil.
Leviticus 13:30	Then the priest shall see the plague: and, behold, if it be in sight deeper than the skin; and there be in it a yellow thin hair; then the priest shall pronounce him unclean: it is a dry scall, even a leprosy upon the head or beard.
